,Rooms,Bedroom2,Bathroom,BuildingArea,Landsize,Regionname,Price
0,2,2,1,151.96764988779805,202,Northern Metropolitan,1480000.0
1,2,2,1,79.0,156,Northern Metropolitan,1035000.0
2,3,3,2,150.0,134,Northern Metropolitan,1465000.0
3,3,3,2,151.96764988779805,94,Northern Metropolitan,850000.0
4,4,3,1,142.0,120,Northern Metropolitan,1600000.0
5,2,2,1,151.96764988779805,181,Northern Metropolitan,941000.0
6,3,4,2,210.0,245,Northern Metropolitan,1876000.0
7,2,2,1,107.0,256,Northern Metropolitan,1636000.0
8,1,1,1,151.96764988779805,0,Northern Metropolitan,300000.0
9,2,3,1,75.0,220,Northern Metropolitan,1097000.0
10,2,2,2,151.96764988779805,0,Northern Metropolitan,700000.0
11,3,3,2,190.0,214,Northern Metropolitan,1350000.0
12,2,2,2,94.0,0,Northern Metropolitan,750000.0
13,2,2,1,151.96764988779805,195,Northern Metropolitan,1172500.0
14,1,1,1,151.96764988779805,0,Northern Metropolitan,441000.0
15,2,2,1,97.0,238,Northern Metropolitan,1310000.0
16,3,3,2,110.0,113,Northern Metropolitan,1200000.0
17,3,2,1,105.0,138,Northern Metropolitan,1176500.0
18,3,3,1,151.96764988779805,183,Northern Metropolitan,955000.0
19,2,2,1,73.0,150,Northern Metropolitan,890000.0
20,4,4,2,135.0,780,Northern Metropolitan,1330000.0
21,3,3,2,151.96764988779805,0,Northern Metropolitan,900000.0
22,3,3,2,27.0,4290,Northern Metropolitan,1090000.0
23,2,2,1,60.0,0,Northern Metropolitan,500000.0
24,2,2,2,135.0,124,Northern Metropolitan,1100000.0
25,2,2,1,85.0,147,Northern Metropolitan,1315000.0
26,1,1,1,151.96764988779805,0,Northern Metropolitan,426000.0
27,3,3,3,174.0,166,Northern Metropolitan,1447500.0
28,1,1,1,50.0,0,Northern Metropolitan,457000.0
29,2,2,2,128.0,98,Northern Metropolitan,1135000.0
30,4,4,3,151.96764988779805,0,Northern Metropolitan,1542000.0
31,3,3,2,18.0,147,Northern Metropolitan,1290000.0
32,3,3,1,124.0,168,Northern Metropolitan,1290000.0
33,1,1,1,50.0,0,Northern Metropolitan,470000.0
34,2,2,1,91.0,162,Northern Metropolitan,1180000.0
35,3,3,2,128.0,120,Northern Metropolitan,1195000.0
36,2,2,1,82.0,182,Northern Metropolitan,1012500.0
37,2,2,1,81.0,172,Northern Metropolitan,1030000.0
38,3,3,2,225.0,303,Western Metropolitan,840000.0
39,3,3,2,145.0,0,Western Metropolitan,730000.0
40,3,3,2,145.0,0,Western Metropolitan,770000.0
41,2,2,1,84.0,272,Western Metropolitan,603000.0
42,3,3,2,134.0,239,Western Metropolitan,700000.0
43,3,2,1,116.0,290,Western Metropolitan,600000.0
44,2,2,1,86.0,168,Western Metropolitan,500000.0
45,3,2,1,151.96764988779805,620,Western Metropolitan,720000.0
46,4,3,1,127.0,597,Western Metropolitan,785000.0
47,6,6,3,186.0,976,Western Metropolitan,725000.0
48,2,2,1,90.0,110,Western Metropolitan,450000.0
49,2,2,1,73.0,141,Western Metropolitan,515000.0
50,2,2,1,94.0,120,Western Metropolitan,530000.0
51,3,3,1,133.0,1063,Western Metropolitan,895000.0
52,3,3,1,105.0,0,Western Metropolitan,805000.0
53,3,3,1,130.0,265,Western Metropolitan,752000.0
54,2,2,1,151.96764988779805,192,Western Metropolitan,440000.0
55,5,3,2,151.96764988779805,596,Western Metropolitan,755000.0
56,3,3,2,133.0,165,Western Metropolitan,700000.0
57,3,3,1,113.0,971,Western Metropolitan,830000.0
58,2,2,1,151.96764988779805,164,Western Metropolitan,462500.0
59,3,3,2,151.96764988779805,657,Western Metropolitan,670000.0
60,2,2,1,100.0,612,Western Metropolitan,675000.0
61,3,3,2,174.0,612,Western Metropolitan,1042000.0
62,3,3,1,151.96764988779805,775,Western Metropolitan,910000.0
63,4,5,3,309.0,531,Western Metropolitan,773000.0
64,3,3,3,192.0,555,Western Metropolitan,810000.0
65,3,3,2,126.0,422,Western Metropolitan,715000.0
66,3,3,1,151.96764988779805,614,Western Metropolitan,790000.0
67,3,2,2,101.0,161,Western Metropolitan,540000.0
68,3,3,2,102.0,293,Western Metropolitan,825000.0
69,3,3,1,113.0,579,Western Metropolitan,685000.0
70,3,3,1,151.96764988779805,623,Western Metropolitan,805000.0
71,2,2,1,76.0,141,Western Metropolitan,510000.0
72,3,3,2,151.96764988779805,212,Western Metropolitan,612000.0
73,3,3,1,151.96764988779805,612,Western Metropolitan,662000.0
74,4,4,3,151.96764988779805,532,Western Metropolitan,978000.0
75,3,3,1,151.96764988779805,585,Western Metropolitan,720000.0
76,4,4,1,151.96764988779805,509,Western Metropolitan,765000.0
77,4,4,2,146.0,628,Western Metropolitan,900000.0
78,2,2,1,82.0,120,Southern Metropolitan,1275000.0
79,2,2,1,151.96764988779805,159,Southern Metropolitan,1455000.0
80,3,3,2,198.0,211,Southern Metropolitan,2850000.0
81,3,3,2,133.0,128,Southern Metropolitan,1850000.0
82,2,2,1,81.0,130,Southern Metropolitan,1436000.0
83,2,1,1,151.96764988779805,147,Southern Metropolitan,1110000.0
84,2,2,1,151.96764988779805,167,Southern Metropolitan,1550000.0
85,4,4,2,180.0,153,Southern Metropolitan,2300000.0
86,3,3,2,151.96764988779805,718,Southern Metropolitan,1550000.0
87,3,3,2,159.0,132,Southern Metropolitan,1800000.0
88,2,2,1,107.0,199,Southern Metropolitan,2120000.0
89,3,3,1,151.96764988779805,253,Southern Metropolitan,1800000.0
90,3,3,2,122.0,90,Southern Metropolitan,1800000.0
91,2,2,1,151.96764988779805,240,Southern Metropolitan,1810000.0
92,3,3,2,181.0,177,Southern Metropolitan,2615000.0
93,5,5,2,151.96764988779805,237,Southern Metropolitan,2100000.0
94,3,3,1,151.96764988779805,129,Southern Metropolitan,1300000.0
95,3,3,2,85.0,0,Southern Metropolitan,1370000.0
96,2,2,1,151.96764988779805,288,Southern Metropolitan,1000000.0
97,3,3,2,151.96764988779805,228,Southern Metropolitan,2575000.0
98,2,2,1,98.0,149,Southern Metropolitan,1322500.0
99,2,2,1,83.0,141,Southern Metropolitan,1562500.0
100,3,3,2,147.0,211,Southern Metropolitan,2000000.0
101,3,3,1,151.96764988779805,209,Southern Metropolitan,1900000.0
102,3,3,2,146.0,147,Southern Metropolitan,3010000.0
103,4,4,3,254.0,327,Southern Metropolitan,2800000.0
104,2,2,1,151.96764988779805,0,Southern Metropolitan,647000.0
105,3,2,1,123.0,120,Southern Metropolitan,2100000.0
106,3,3,1,131.0,238,Southern Metropolitan,2000000.0
107,1,1,1,34.0,0,Southern Metropolitan,442500.0
108,4,4,2,207.0,330,Southern Metropolitan,4735000.0
109,2,2,1,151.96764988779805,136,Southern Metropolitan,1340000.0
110,3,3,1,151.96764988779805,202,Southern Metropolitan,1801000.0
111,3,3,3,151.96764988779805,0,Southern Metropolitan,1532000.0
112,3,3,2,151.96764988779805,325,Southern Metropolitan,3755000.0
113,4,3,2,145.0,183,Southern Metropolitan,2140000.0
114,2,2,1,151.96764988779805,162,Southern Metropolitan,1750000.0
115,2,2,1,68.0,79,Southern Metropolitan,980000.0
116,3,3,2,151.96764988779805,152,Southern Metropolitan,2030000.0
117,3,3,2,134.0,147,Southern Metropolitan,1740000.0
118,3,3,3,151.96764988779805,0,Southern Metropolitan,2800000.0
119,1,1,1,54.0,81,Southern Metropolitan,985000.0
120,4,3,2,263.0,853,Northern Metropolitan,2000000.0
121,3,3,2,151.96764988779805,208,Northern Metropolitan,1110000.0
122,3,3,2,151.96764988779805,411,Northern Metropolitan,1492000.0
123,4,4,2,203.0,599,Northern Metropolitan,1717500.0
124,5,5,4,165.0,809,Northern Metropolitan,2840000.0
125,2,2,1,60.0,88,Northern Metropolitan,525500.0
126,2,2,2,140.0,155,Northern Metropolitan,805000.0
127,2,2,1,151.96764988779805,0,Northern Metropolitan,465000.0
128,3,3,3,151.96764988779805,686,Northern Metropolitan,2000000.0
129,3,3,1,151.96764988779805,592,Northern Metropolitan,1540000.0
130,2,2,1,151.96764988779805,183,Northern Metropolitan,820000.0
131,4,4,2,112.0,606,Northern Metropolitan,1830000.0
132,4,4,2,271.0,575,Northern Metropolitan,2100000.0
133,3,3,1,131.0,180,Northern Metropolitan,865000.0
134,2,2,1,60.0,0,Northern Metropolitan,390000.0
135,2,0,1,151.96764988779805,0,Northern Metropolitan,650000.0
136,2,2,1,61.0,0,Northern Metropolitan,512000.0
137,3,3,1,151.96764988779805,979,Northern Metropolitan,1165000.0
138,4,4,2,272.0,556,Northern Metropolitan,1900000.0
139,3,3,0,151.96764988779805,597,Northern Metropolitan,1485000.0
140,4,4,2,210.0,589,Northern Metropolitan,1950000.0
141,3,3,2,242.0,352,Western Metropolitan,520000.0
142,5,5,3,268.0,729,Western Metropolitan,1525000.0
143,2,2,1,125.0,292,Western Metropolitan,720000.0
144,3,3,1,120.0,506,Western Metropolitan,1120000.0
145,4,4,1,151.96764988779805,655,Western Metropolitan,780000.0
146,4,4,3,220.0,1057,Western Metropolitan,1780000.0
147,3,2,1,94.0,311,Western Metropolitan,630000.0
148,2,2,1,151.96764988779805,65,Western Metropolitan,406000.0
149,3,3,1,123.0,602,Western Metropolitan,660000.0
150,3,3,1,151.96764988779805,530,Western Metropolitan,683500.0
151,2,2,1,93.0,225,Western Metropolitan,580000.0
152,3,3,1,22.0,777,Western Metropolitan,1335000.0
153,3,3,2,151.96764988779805,280,Western Metropolitan,800000.0
154,2,2,1,76.0,127,Western Metropolitan,510000.0
155,4,4,2,151.96764988779805,695,Western Metropolitan,1070000.0
156,2,2,1,57.0,115,Western Metropolitan,425000.0
157,3,3,2,151.96764988779805,230,Western Metropolitan,605000.0
158,3,3,2,152.0,197,Western Metropolitan,705000.0
159,2,2,1,65.0,0,Western Metropolitan,391000.0
160,2,2,1,151.96764988779805,0,Western Metropolitan,440000.0
161,4,4,1,130.0,745,Western Metropolitan,845000.0
162,3,3,2,176.0,211,Western Metropolitan,743000.0
163,3,3,2,141.0,69,Western Metropolitan,730000.0
164,3,3,1,151.96764988779805,625,Western Metropolitan,635000.0
165,2,2,1,151.96764988779805,168,Western Metropolitan,620000.0
166,2,2,1,77.0,137,Western Metropolitan,447000.0
167,3,3,2,151.96764988779805,70,Western Metropolitan,730000.0
168,3,3,1,87.0,606,Western Metropolitan,678000.0
169,2,2,2,76.0,175,Western Metropolitan,580000.0
170,3,3,1,151.96764988779805,363,Western Metropolitan,712000.0
171,3,3,2,136.0,534,Western Metropolitan,840000.0
172,3,3,1,151.96764988779805,724,Western Metropolitan,980000.0
173,3,3,2,151.96764988779805,265,Western Metropolitan,605100.0
174,3,3,3,151.96764988779805,577,Western Metropolitan,880000.0
175,3,3,2,113.0,205,Western Metropolitan,577000.0
176,4,4,1,151.96764988779805,797,Western Metropolitan,1030000.0
177,3,3,1,151.96764988779805,181,Western Metropolitan,605000.0
178,3,3,2,151.96764988779805,529,Western Metropolitan,753000.0
179,2,2,2,100.0,675,Western Metropolitan,857000.0
180,3,3,1,151.96764988779805,929,Western Metropolitan,1500000.0
181,3,3,2,3.0,70,Western Metropolitan,730000.0
182,3,3,1,151.96764988779805,697,Western Metropolitan,900000.0
183,3,3,1,151.96764988779805,604,Western Metropolitan,740000.0
184,4,4,2,151.96764988779805,532,Western Metropolitan,931000.0
185,2,2,1,91.0,154,Western Metropolitan,535600.0
186,5,5,3,251.0,592,Western Metropolitan,1085000.0
187,3,3,1,117.0,533,Western Metropolitan,781000.0
188,3,3,1,151.96764988779805,554,Western Metropolitan,750000.0
189,2,2,1,77.0,77,Western Metropolitan,421000.0
190,3,3,1,151.96764988779805,655,Western Metropolitan,1405000.0
191,3,3,1,167.0,534,Western Metropolitan,683000.0
192,3,3,1,151.96764988779805,540,Western Metropolitan,623000.0
193,3,3,2,130.0,0,Western Metropolitan,720000.0
194,3,3,1,118.0,328,Western Metropolitan,588000.0
195,3,3,1,116.0,540,Western Metropolitan,710000.0
196,4,3,1,169.0,559,Western Metropolitan,875000.0
197,3,3,1,151.96764988779805,554,Western Metropolitan,700000.0
198,2,2,1,151.96764988779805,252,Western Metropolitan,640000.0
199,4,4,1,151.96764988779805,558,Western Metropolitan,650000.0
200,3,3,2,109.0,171,Western Metropolitan,675000.0
201,3,3,1,97.0,585,Western Metropolitan,708000.0
202,4,4,1,151.96764988779805,851,Western Metropolitan,965000.0
203,3,3,1,151.96764988779805,551,Western Metropolitan,680000.0
204,3,3,1,603.0,602,Western Metropolitan,770000.0
205,3,3,1,151.96764988779805,740,Western Metropolitan,923000.0
206,4,4,2,170.0,315,Western Metropolitan,693000.0
207,3,5,2,100.0,276,Western Metropolitan,620000.0
208,3,3,1,157.0,531,Western Metropolitan,728500.0
209,3,3,2,160.0,590,Western Metropolitan,931000.0
210,3,3,1,151.96764988779805,715,Western Metropolitan,988000.0
211,3,3,1,151.96764988779805,561,Western Metropolitan,590000.0
212,2,2,1,151.96764988779805,691,Western Metropolitan,610000.0
213,3,3,2,130.0,555,Western Metropolitan,815000.0
214,4,4,1,151.96764988779805,708,Western Metropolitan,970000.0
215,4,4,1,151.96764988779805,668,Western Metropolitan,760000.0
216,4,4,3,151.96764988779805,252,Western Metropolitan,847500.0
217,4,4,1,158.0,633,Western Metropolitan,1200000.0
218,3,3,1,151.96764988779805,557,Western Metropolitan,700000.0
219,3,3,1,151.96764988779805,536,Western Metropolitan,625000.0
220,2,2,1,70.0,153,Western Metropolitan,292000.0
221,2,2,1,76.0,0,Southern Metropolitan,599000.0
222,2,2,1,151.96764988779805,861,Southern Metropolitan,550000.0
223,3,3,2,100.0,0,Southern Metropolitan,995000.0
224,3,3,2,105.0,101,Southern Metropolitan,1205000.0
225,3,3,2,150.0,296,Southern Metropolitan,1939000.0
226,1,1,1,151.96764988779805,0,Southern Metropolitan,421500.0
227,3,3,1,116.0,217,Southern Metropolitan,1870000.0
228,2,2,1,151.96764988779805,0,Southern Metropolitan,678000.0
229,3,3,2,165.0,0,Southern Metropolitan,1918000.0
230,2,2,1,151.96764988779805,0,Southern Metropolitan,660000.0
231,3,3,2,116.0,205,Southern Metropolitan,2050000.0
232,2,2,1,151.96764988779805,0,Southern Metropolitan,700000.0
233,2,3,2,151.96764988779805,0,Southern Metropolitan,3625000.0
234,4,4,2,151.96764988779805,1581,Southern Metropolitan,3000000.0
235,5,8,2,151.96764988779805,693,Southern Metropolitan,1525000.0
236,3,3,2,14.0,2113,Southern Metropolitan,735000.0
237,2,2,1,151.96764988779805,0,Southern Metropolitan,825000.0
238,3,2,2,151.96764988779805,246,Southern Metropolitan,1586000.0
239,2,3,1,151.96764988779805,0,Southern Metropolitan,645000.0
240,1,2,2,107.0,144,Southern Metropolitan,1435000.0
241,1,1,1,38.0,0,Southern Metropolitan,280000.0
242,1,1,1,151.96764988779805,0,Southern Metropolitan,400000.0
243,2,2,2,151.96764988779805,0,Southern Metropolitan,1780000.0
244,2,2,1,73.0,0,Southern Metropolitan,592500.0
245,2,2,1,96.0,249,Southern Metropolitan,1210000.0
246,4,4,2,222.0,624,Southern Metropolitan,2801000.0
247,1,1,1,151.96764988779805,881,Southern Metropolitan,390000.0
248,3,3,2,121.0,405,Southern Metropolitan,1800000.0
249,4,4,1,163.0,495,Southern Metropolitan,2200000.0
250,1,1,1,151.96764988779805,0,Southern Metropolitan,324000.0
251,6,5,3,516.0,1491,Southern Metropolitan,5525000.0
252,2,3,1,151.96764988779805,169,Southern Metropolitan,1125000.0
253,3,3,3,151.96764988779805,301,Southern Metropolitan,2250000.0
254,3,3,2,151.96764988779805,336,Southern Metropolitan,2360000.0
255,2,2,2,151.96764988779805,207,Southern Metropolitan,1900000.0
256,1,1,1,53.0,0,Southern Metropolitan,440000.0
257,2,2,1,151.96764988779805,0,Southern Metropolitan,490000.0
258,3,3,2,151.96764988779805,316,Southern Metropolitan,2365000.0
259,3,2,1,106.0,212,Southern Metropolitan,1300000.0
260,3,3,2,151.96764988779805,0,Southern Metropolitan,732000.0
261,2,2,1,74.0,0,Southern Metropolitan,704000.0
262,2,3,1,98.0,0,Southern Metropolitan,620000.0
263,3,3,1,108.0,328,Southern Metropolitan,1900000.0
264,1,1,1,151.96764988779805,0,Southern Metropolitan,315000.0
265,1,1,1,151.96764988779805,0,Southern Metropolitan,450000.0
266,2,2,1,80.0,2471,Southern Metropolitan,710000.0
267,2,2,1,151.96764988779805,1194,Southern Metropolitan,872000.0
268,2,2,1,88.0,0,Southern Metropolitan,598000.0
269,3,3,1,80.0,186,Southern Metropolitan,1285000.0
270,4,4,3,151.96764988779805,421,Southern Metropolitan,3660000.0
271,2,1,1,76.0,0,Southern Metropolitan,520000.0
272,4,4,1,251.0,709,Southern Metropolitan,3625000.0
273,4,4,3,333.0,563,Southern Metropolitan,4200000.0
274,3,3,1,3.0,103,Southern Metropolitan,1101000.0
275,3,3,2,285.0,617,Southern Metropolitan,3512500.0
276,4,4,3,151.96764988779805,544,Southern Metropolitan,2000000.0
277,3,2,1,91.0,0,Southern Metropolitan,869000.0
278,5,5,2,151.96764988779805,617,Southern Metropolitan,2810000.0
279,2,3,1,151.96764988779805,0,Southern Metropolitan,565000.0
280,1,1,1,53.0,0,Southern Metropolitan,567000.0
281,2,2,0,151.96764988779805,0,Southern Metropolitan,546000.0
282,2,2,1,151.96764988779805,0,Southern Metropolitan,471500.0
283,2,3,1,151.96764988779805,0,Western Metropolitan,455000.0
284,3,3,1,108.0,298,Western Metropolitan,940000.0
285,2,2,1,62.0,0,Western Metropolitan,467000.0
286,3,3,2,174.0,277,Western Metropolitan,1380000.0
287,2,2,1,62.0,423,Western Metropolitan,490000.0
288,4,4,3,270.0,478,Western Metropolitan,1850000.0
289,3,3,1,151.96764988779805,623,Western Metropolitan,1284000.0
290,3,3,2,128.0,285,Western Metropolitan,971000.0
291,2,2,1,77.0,214,Western Metropolitan,710000.0
292,6,6,3,435.0,1014,Western Metropolitan,2425000.0
293,2,2,1,92.0,226,Western Metropolitan,750000.0
294,2,2,1,109.0,269,Western Metropolitan,1053000.0
295,3,3,1,168.0,417,Western Metropolitan,1377000.0
296,3,3,1,125.0,350,Western Metropolitan,970000.0
297,2,2,1,151.96764988779805,330,Western Metropolitan,940000.0
298,2,2,1,79.0,118,Western Metropolitan,751000.0
299,2,2,1,102.0,173,Western Metropolitan,950000.0
300,2,2,1,90.0,228,Western Metropolitan,685000.0
301,3,4,1,148.0,594,Western Metropolitan,1230000.0
302,2,2,1,151.96764988779805,0,Western Metropolitan,636500.0
303,3,3,1,151.96764988779805,317,Western Metropolitan,910000.0
304,2,2,1,87.0,226,Western Metropolitan,770000.0
305,3,3,2,151.96764988779805,229,Western Metropolitan,960000.0
306,4,4,1,185.0,300,Western Metropolitan,890000.0
307,2,2,1,151.96764988779805,170,Western Metropolitan,965000.0
308,3,3,1,131.0,487,Western Metropolitan,1440000.0
309,2,2,1,151.96764988779805,255,Western Metropolitan,955000.0
310,2,2,1,151.96764988779805,0,Western Metropolitan,450000.0
311,3,3,1,151.96764988779805,431,Western Metropolitan,801000.0
312,3,3,2,120.0,440,Western Metropolitan,1000000.0
313,3,3,2,147.0,532,Western Metropolitan,1435000.0
314,1,1,1,58.0,0,Western Metropolitan,390000.0
315,3,3,2,139.0,495,Western Metropolitan,1425000.0
316,4,3,2,232.0,683,Western Metropolitan,1340000.0
317,3,3,1,117.0,263,Western Metropolitan,955000.0
318,4,4,2,195.0,559,Western Metropolitan,1100000.0
319,3,3,2,151.96764988779805,308,Western Metropolitan,1255000.0
320,2,2,1,62.0,0,Western Metropolitan,432000.0
321,4,4,3,204.0,562,Western Metropolitan,1640000.0
322,6,4,2,286.0,461,Western Metropolitan,1430000.0
323,2,2,1,104.0,301,Western Metropolitan,610000.0
324,3,3,3,127.0,491,Western Metropolitan,940000.0
325,3,3,1,110.0,242,Western Metropolitan,890000.0
326,3,3,2,149.0,617,Western Metropolitan,1180000.0
327,4,4,2,180.0,597,Western Metropolitan,1480000.0
328,2,2,1,151.96764988779805,387,Western Metropolitan,1150000.0
329,3,3,1,151.96764988779805,575,Western Metropolitan,1350000.0
330,5,5,2,151.96764988779805,521,Western Metropolitan,1905000.0
331,2,2,2,132.0,146,Western Metropolitan,865000.0
332,2,2,2,151.96764988779805,113,Western Metropolitan,705000.0
333,2,2,1,62.0,0,Western Metropolitan,442000.0
334,2,2,2,151.96764988779805,0,Western Metropolitan,540000.0
335,3,3,1,110.0,506,Western Metropolitan,1037500.0
336,3,3,2,160.0,318,Western Metropolitan,1050000.0
337,2,2,1,65.0,0,Western Metropolitan,440000.0
338,2,2,1,151.96764988779805,325,Western Metropolitan,1010000.0
339,4,4,2,158.0,418,Western Metropolitan,1430000.0
340,2,2,1,151.96764988779805,0,Western Metropolitan,570000.0
341,2,2,1,151.96764988779805,0,Western Metropolitan,690000.0
342,3,3,1,151.96764988779805,414,Western Metropolitan,1291000.0
343,3,3,2,157.0,272,Western Metropolitan,1130000.0
344,3,3,1,104.0,296,Western Metropolitan,1135000.0
345,4,4,2,147.0,298,Western Metropolitan,950000.0
346,3,3,2,148.0,0,Western Metropolitan,790000.0
347,2,2,1,69.0,1957,Western Metropolitan,390000.0
348,4,4,1,155.0,552,Western Metropolitan,1345000.0
349,3,3,2,168.0,416,Western Metropolitan,1381500.0
350,3,3,2,172.0,285,Western Metropolitan,940000.0
351,3,3,2,177.0,314,Western Metropolitan,995000.0
352,3,3,1,151.96764988779805,536,Western Metropolitan,1050000.0
353,3,3,2,120.0,576,Western Metropolitan,786000.0
354,2,2,1,108.0,252,Western Metropolitan,705000.0
355,2,2,1,77.0,124,Western Metropolitan,760000.0
356,3,3,1,151.96764988779805,0,Western Metropolitan,487500.0
357,3,3,2,144.0,200,Western Metropolitan,1000000.0
358,4,4,2,151.96764988779805,349,Western Metropolitan,1110000.0
359,4,4,1,151.96764988779805,664,Western Metropolitan,1300000.0
360,3,3,1,151.96764988779805,555,Western Metropolitan,1060000.0
361,3,3,2,151.96764988779805,459,Western Metropolitan,1410000.0
362,3,2,1,166.0,278,Western Metropolitan,1305000.0
363,3,3,2,151.96764988779805,254,Western Metropolitan,932500.0
364,3,3,1,151.96764988779805,216,Western Metropolitan,965000.0
365,3,3,1,175.0,452,Western Metropolitan,1215000.0
366,2,2,1,71.0,194,Western Metropolitan,545000.0
367,4,4,2,273.0,598,Western Metropolitan,1705000.0
368,3,2,1,151.96764988779805,194,Western Metropolitan,970000.0
369,2,2,1,151.96764988779805,407,Western Metropolitan,925000.0
370,4,4,3,399.0,753,Southern Metropolitan,2650000.0
371,3,3,2,220.0,599,Southern Metropolitan,1670000.0
372,3,3,2,151.96764988779805,203,Southern Metropolitan,955000.0
373,3,3,3,315.0,310,Southern Metropolitan,2050000.0
374,2,2,1,151.96764988779805,710,Southern Metropolitan,500000.0
375,2,2,1,151.96764988779805,679,Southern Metropolitan,1575000.0
376,3,3,2,149.0,731,Southern Metropolitan,1555000.0
377,3,3,3,178.0,276,Southern Metropolitan,1100000.0
378,3,3,1,112.0,583,Southern Metropolitan,1337000.0
379,8,9,7,618.0,1472,Southern Metropolitan,2950000.0
380,4,4,2,151.96764988779805,681,Southern Metropolitan,2215000.0
381,3,3,2,145.0,516,Southern Metropolitan,1518000.0
382,3,3,1,101.0,806,Southern Metropolitan,1710000.0
383,3,3,1,152.0,780,Southern Metropolitan,1655000.0
384,4,4,2,180.0,780,Southern Metropolitan,1550000.0
385,3,3,2,228.0,351,Southern Metropolitan,1662000.0
386,3,3,2,145.0,702,Southern Metropolitan,1665000.0
387,2,2,1,151.96764988779805,704,Southern Metropolitan,1445000.0
388,5,5,5,444.0,755,Southern Metropolitan,3510000.0
389,3,3,1,151.96764988779805,227,Southern Metropolitan,968000.0
390,3,3,2,110.0,153,Southern Metropolitan,900000.0
391,3,3,1,151.96764988779805,545,Southern Metropolitan,1500000.0
392,5,6,4,390.0,1075,Southern Metropolitan,2752000.0
393,3,3,2,139.0,710,Southern Metropolitan,1500000.0
394,4,4,2,206.0,749,Southern Metropolitan,1800000.0
395,3,3,2,168.0,724,Southern Metropolitan,1830000.0
396,3,3,1,111.0,605,Southern Metropolitan,1415000.0
397,2,2,1,104.0,687,Southern Metropolitan,1440000.0
398,4,4,2,199.0,321,Southern Metropolitan,1250000.0
399,3,3,1,151.96764988779805,583,Southern Metropolitan,1422000.0
400,5,5,3,266.0,700,Southern Metropolitan,1600000.0
401,4,4,2,274.0,696,Southern Metropolitan,1860000.0
402,3,3,2,151.96764988779805,295,Southern Metropolitan,1710000.0
403,4,4,2,240.0,514,Southern Metropolitan,1790000.0
404,4,4,2,278.0,844,Southern Metropolitan,1950000.0
405,3,3,1,151.96764988779805,637,Southern Metropolitan,1600000.0
406,3,3,1,151.96764988779805,1063,Southern Metropolitan,1320000.0
407,3,3,1,164.0,697,Southern Metropolitan,1650000.0
408,2,2,1,151.96764988779805,583,Southern Metropolitan,995000.0
409,3,3,1,151.96764988779805,842,Southern Metropolitan,1250000.0
410,3,3,2,151.96764988779805,467,Southern Metropolitan,1045000.0
411,4,4,3,201.0,372,Southern Metropolitan,1200000.0
412,2,2,1,114.0,695,Southern Metropolitan,1075000.0
413,4,2,2,203.0,621,Southern Metropolitan,1500000.0
414,3,3,1,151.96764988779805,723,Southern Metropolitan,1120000.0
415,2,2,1,110.0,367,Southern Metropolitan,700000.0
